zip,city,state,lat,lon
44224,Stow,OH,41.1595,-81.4404
44333,Akron,OH,41.1445,-81.6127
44308,Akron,OH,41.0831,-81.5185
44145,Westlake,OH,41.4638,-81.9235
44114,Cleveland,OH,41.5052,-81.6758
44221,Cuyahoga Falls,OH,41.1366,-81.4846
44223,Cuyahoga Falls,OH,41.1487,-81.5125
44240,Kent,OH,41.1464,-81.3579
44264,Peninsula,OH,41.2401,-81.5526
44067,Northfield,OH,41.3187,-81.5457
44087,Twinsburg,OH,41.3145,-81.4244
44262,Rootstown,OH,41.0931,-81.2434
44203,Barberton,OH,41.0128,-81.6051
44130,Middleburg Heights,OH,41.3698,-81.8225
44139,Solon,OH,41.3867,-81.4402
